Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
;Verify sorting by vehicle status (column 'Status pojazdu') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by vehicle status (column 'Status pojazdu'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by vehicle place (column 'Miejsce pojazdu') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by vehicle place (column 'Miejsce pojazdu'):
- in search field type in a part of vehicle's place.";The list is filtered correctly.;;;;;
;Verify if searching by vehicle place (column 'Miejsce pojazdu') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by repair stage (column 'Etap') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair stage (column 'Etap'):
- in search field type in a part of repair stage.";The list is filtered correctly.;;;;;
;Verify if searching by repair stage (column 'Etap') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim type (column 'Rodzaj szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim type (column 'Rodzaj szkody'):
- in search field type in a part of claim type.";The list is filtered correctly.;;;;;
;Verify if searching by claim type (column 'Rodzaj szkody') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by insurance company (column 'Nazwa TU') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by insurance company (column 'Nazwa TU'):
- in search field type in a part of insurance company name.";The list is filtered correctly.;;;;;
;Verify if searching by insurance company (column 'Nazwa TU') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by insurance type (column 'Kwalifikacja') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by insurance type (column 'Kwalifikacja'):
- in search field type in insurance type.";The list is filtered correctly.;;;;;
;Verify if searching by insurance type (column 'Kwalifikacja') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim description (column 'Opis szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim description (column 'Opis szkody'):
- in search field type in a part of claim description.";The list is filtered correctly.;;;;;
;Verify if searching by claim description (column 'Opis szkody') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by net value of the active cost estimate (column 'Wartość netto aktywnego kosztorysu') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by net value of the active cost estimate (column 'Wartość netto aktywnego kosztorysu'):
- in search field type in value.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by workshop (column 'Warsztat') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by workshop (column 'Warsztat'):
- in search field type in a part of workshop name.";The list is filtered correctly.;;;;;
;Verify if searching by claim description (column 'Opis szkody') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible BOK (column 'BOK odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible BOK (column 'BOK odpowiedzialny'):
- in search field type in a part of BOK name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible BOK (column 'BOK odpowiedzialny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible advisor (column 'Doradca odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible advisor (column 'Doradca odpowiedzialny'):
- in search field type in a part of advisor's name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible advisor (column 'Doradca odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible cost estimator (column 'Kosztorysant odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible cost estimator (column 'Kosztorysant odpowiedzialny'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible cost estimator (column 'Kosztorysant odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by operating BOK (column 'BOK obsługujący') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating BOK (column 'BOK obsługujący'):
- in search field type in a part of BOK name.";The list is filtered correctly.;;;;;
;Verify if searching by operating BOK (column 'BOK obsługujący') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by operating advisor (column 'Doradca obsługujący') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating advisor (column 'Doradca obsługujący'):
- in search field type in a part of advisor's name.";The list is filtered correctly.;;;;;
;Verify if searching by operating advisor (column 'Doradca obsługujący') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by operating cost estimator (column 'Kosztorysant odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating cost estimator (column 'Kosztorysant odpowiedzialny'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by operating cost estimator (column 'Kosztorysant odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by comments for repair (column 'Uwagi do naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by comments for repair (column 'Uwagi do naprawy'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by comments for repair (column 'Uwagi do naprawy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by planned admission date (column 'Planowana data przyjęcia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by planned admission date (column 'Planowana data przyjęcia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by planned release date (column 'Planowana data wydania') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by planned release date (column 'Planowana data wydania'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim creation (column 'Utworzenie szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim creation (column 'Utworzenie szkody'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim creator (column 'Utworzył szkodę') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim creator (column 'Utworzył szkodę'):
- in search field type in a part of claim creator's name.";The list is filtered correctly.;;;;;
;Verify if searching by claim creator (column 'Utworzył szkodę') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by conducting an inspection (column 'Wykonanie oględzin') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by conducting an inspection (column 'Wykonanie oględzin'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order creation (column 'Utworzenie zlecenia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order creation (column 'Utworzenie zlecenia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by admission date (column 'Przyjęcie do naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by admission date (column 'Przyjęcie do naprawy'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order completion (column 'Zakończenie zlecenia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order completion (column 'Zakończenie zlecenia'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim completion (column 'Zakończenie szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim completion (column 'Zakończenie szkody') :
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by steerability (column 'Kierowalność') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by steerability (column 'Kierowalność'):
- in search field type in a steerability.";The list is filtered correctly.;;;;;
;Verify if searching by steerability (column 'Kierowalność') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by number of reschedules (column 'Ilość przeplanowań') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by number of reschedules (column 'Ilość przeplanowań'):
- in search field type in a number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's email (column 'Email zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's email (column 'Email zleceniodawcy'):
- in search field type in a client's email.";The list is filtered correctly.;;;;;
;Verify if searching by client's email (column 'Email zleceniodawcy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's address (column 'Adres zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's address (column 'Adres zleceniodawcy'):
- in search field type in a client's address.";The list is filtered correctly.;;;;;
;Verify if searching by client's address (column 'Adres zleceniodawcy') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by repair ID (column 'Identyfikator naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair ID (column 'Identyfikator naprawy'):
- in search field type in a repair ID.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód w toku (multiple filters);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód w toku'.;Page 'Lista szkód w toku' is loaded.;;;;;
;Verify filtering by multiple orders for a claim by marking checkbox: 'Wiele zleceń do szkody'.;The list is filtered correctly.;;;;;
;Add filtering: 'Wystawiona faktura' = TAK;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Mark checkbox 'Szkody z kosztorysem"".";The list is filtered correctly.;;;;;
;"Mark checkbox 'Szkody bez kosztorysu"".";The list is filtered correctly, no results are returned.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Mark checkbox 'Szkody bez zleceń"".";The list is filtered correctly.;;;;;
;Add filter 'Szkody Warsztat powyżej (ilość dni) to 5.;The list is filtered correctly.;;;;;
;Add filtering: 'Status pojazdu' = Przyjęty;The list is filtered correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód - historia (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Lista szkód - historia'.;Page 'Lista szkód - historia' is loaded.;;;;;
;"Verify to panel:
- 'Odśwież' button
- 'Wyczyść filtry' button
- three-dot menu with 'Export do Excela' button";It displays correctly.;;;;;
;"Verify filtering section:
- Numer faktury
- checkbox: Szkody bez zleceń
- checkbox: Multiszkody
- checkbox: Szkody nierozliczone
- checkbox: Wiele zleceń od szkody
- checkbox: Szkody z kosztorysem
- checkbox: Szkody bez kosztorysu
- checkbox: Szkody przeplanowane
- checkbox: Szkody całkowite";It displays correctly.;;;;;
;"Verify columns in page layout:
- Operacje
- Status szkody
- Utworzenie szkody
- Utworzył szkodę
- Nr naprawy
- Nr zlecenia wiodącego
- Nr faktury
- Wystawiona faktura
- Nr szkody
- Nr rejestracyjny
- Numer nadwozia
- Marka
- Model
- Zleceniodawca
- Telefon zleceniodawcy
- Cecha ASO
- Rodzaj szkody
- Nazwa TU
- Kwalifikacja
- Opis szkody
- Wartość netto aktywnego kosztorysu
- Warsztat
- BOK odpowiedzialny
- Doradca odpowiedzialny
- Kosztorysant odpowiedzialny
- BOK obsługujący
- Doradca obsługujący
- Kosztorysant obsługujący
- Uwagi do naprawy
- Wykonanie oględzin
- Utworzenie zlecenia
- Przyjęcie do naprawy
- Zakończenie zlecenia
- Zakończenie szkody
- Kierowalność
- Ilość przeplanowań
- Email zleceniodawcy
- Adres zleceniodawcy
- Identyfikator naprawy";It displays correctly.;;;;;
;Verify if all columns are sortable (except columns Operajce, Adres zleceniodawcy).;Columns are sortable.;;;;;
;Verify if next to each column's name there is a filter button (except columns Operajce, Adres zleceniodawcy).;It displays correctly.;;;;;
;Verify if under each column name there is a search field (except columns Operajce, Adres zleceniodawcy).;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns with calendars and amount):
- Równy
- Nierówny
- Mniejsze od
- Większe
- Mniejszy lub równy
- Większy lub równy
- Pomiędzy
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (except columns 'Marka' and 'Model'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns 'Marka' and 'Model'):
- Zawiera
- Wyczyść";It displays correctly.;;;;;
;"Verify if search field for column 'Wystawiona faktura' is a drop-down list with following items:
- (Wszystkie)
- Tak
- Nie";It displays correctly.;;;;;
;Verify if search field for column 'Marka' is a drop-down list with the list of vehicle makes.;It displays correctly.;;;;;
;Verify if search field for column 'Model' is a drop-down list with the list of vehicle models.;It displays correctly.;;;;;
;"Verify if search field for column 'Status szkody' is a drop-down list with following items:
- (Wszystkie)
- W toku
- Niezakończona
- W oczekiwaniu
- Zakończona
- Zawieszona
- Brak naprawy
- Anulowana";It displays correctly.;;;;;
;"Verify if search field for below columns is a calendar:
- Utworzenie szkody
- Wykonanie oględzin
- Utworzenie zlecenia
- Przyjęcie do naprawy
- Zakończenie zlecenia
- Zakończenie szkody";It displays correctly.;;;;;
;"Verify available options for pagination:
- 30
- 50
- 100";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód - historia (single filter - grid);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód - historia'.;Page 'Lista szkód - historia' is loaded.;;;;;
;"Verify filtering by invoice number (field 'Numer faktury:
- type in invoice number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims wihout orders by marking checkbox: 'Szkody bez zleceń'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by multiclaims by marking checkbox: 'Multiszkody'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by multiclaims by marking checkbox: 'Szkody nierozliczone'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by multiple orders for a claim by marking checkbox: 'Wiele zleceń do szkody'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims with cost estimation by marking checkbox: 'Szkody z kosztorysem'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims without cost estimation by marking checkbox: 'Szkody bez kosztorysu'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by rescheduled claims by marking checkbox: 'Szkody przeplanowane'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by rescheduled claims by marking checkbox: 'Szkody całkowite'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód - historia (single filter - columns);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód - historia'.;Page 'Lista szkód - historia' is loaded.;;;;;
;Verify sorting by claim status (column 'Status szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim status (column 'Status szkody'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim creation (column 'Utworzenie szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim creation (column 'Utworzenie szkody'):
- select any date";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim creator (column 'Utworzył szkodę') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim creator (column 'Utworzył szkodę'):
- in search field type in a part of claim creator's name.";The list is filtered correctly.;;;;;
;Verify if searching by claim creator (column 'Utworzył szkodę') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by repair number (column 'Nr naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair number (column 'Nr naprawy'):
- in search field type in a repair number";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order number (column 'Nr zlecenia wiodącego') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order number (column 'Nr zlecenia wiodącego'):
- in search field type in a part of order number";The list is filtered correctly.;;;;;
;Verify if searching by order number (column 'Nr zlecenia wiodącego') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by invoice number (column 'Nr faktury') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by invoice number (column 'Nr faktury'):
- in search field type in a part of invoice number";The list is filtered correctly.;;;;;
;Verify if searching by invoice number (column 'Nr faktury') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by invoice status (column 'Wystawiona faktura') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by invoice status (column 'Wystawiona faktura'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim number (column 'Nr szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim number (column 'Nr szkody'):
- in search field type in a part of claim number";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by VIN (column 'Numer nadwozia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Numer nadwozia'):
- in search field type in a part of VIN.";The list is filtered correctly.;;;;;
;Verify if searching by VIN (column 'Numer nadwozia') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by make (column 'Marka') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by make (column 'Marka'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (column 'Model'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client (column 'Zleceniodawca') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client (column 'Zleceniodawca'):
- in search field type in a part of client's name.";The list is filtered correctly.;;;;;
;Verify if searching by client (column 'Zleceniodawca') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's phone number (column 'Telefon zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's phone number (column 'Telefon zleceniodawcy'):
- in search field type in client's phone number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by ASO feature (column 'Cecha ASO') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by ASO feature (column 'Cecha ASO'):
- in search field type in a part of ASO feature.";The list is filtered correctly.;;;;;
;Verify if searching by ASO feature (column 'Cecha ASO') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim type (column 'Rodzaj szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim type (column 'Rodzaj szkody'):
- in search field type in a part of claim type.";The list is filtered correctly.;;;;;
;Verify if searching by claim type (column 'Rodzaj szkody') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by insurance company (column 'Nazwa TU') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by insurance company (column 'Nazwa TU'):
- in search field type in a part of insurance company name.";The list is filtered correctly.;;;;;
;Verify if searching by insurance company (column 'Nazwa TU') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by insurance type (column 'Kwalifikacja') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by insurance type (column 'Kwalifikacja'):
- in search field type in insurance type.";The list is filtered correctly.;;;;;
;Verify if searching by insurance type (column 'Kwalifikacja') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim description (column 'Opis szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim description (column 'Opis szkody'):
- in search field type in a part of claim description.";The list is filtered correctly.;;;;;
;Verify if searching by claim description (column 'Opis szkody') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by net value of the active cost estimate (column 'Wartość netto aktywnego kosztorysu') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by net value of the active cost estimate (column 'Wartość netto aktywnego kosztorysu'):
- in search field type in value.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by workshop (column 'Warsztat') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by workshop (column 'Warsztat'):
- in search field type in a part of workshop name.";The list is filtered correctly.;;;;;
;Verify if searching by claim description (column 'Warsztat') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible BOK (column 'BOK odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible BOK (column 'BOK odpowiedzialny'):
- in search field type in a part of BOK name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible BOK (column 'BOK odpowiedzialny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible advisor (column 'Doradca odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible advisor (column 'Doradca odpowiedzialny'):
- in search field type in a part of advisor's name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible advisor (column 'Doradca odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by responsible cost estimator (column 'Kosztorysant odpowiedzialny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by responsible cost estimator (column 'Kosztorysant odpowiedzialny'):
- in search field type in a part of cost estimator's name.";The list is filtered correctly.;;;;;
;Verify if searching by responsible cost estimator (column 'Kosztorysant odpowiedzialny') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by operating BOK (column 'BOK obsługujący') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating BOK (column 'BOK obsługujący'):
- in search field type in a part of BOK name.";The list is filtered correctly.;;;;;
;Verify if searching by operating BOK (column 'BOK obsługujący') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by operating advisor (column 'Doradca obsługujący') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by operating advisor (column 'Doradca obsługujący'):
- in search field type in a part of advisor's name.";The list is filtered correctly.;;;;;
;Verify if searching by operating advisor (column 'Doradca obsługujący') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
